Country,Name,Profession,Influence Score
India,Bobby Jindal, Elected Officials,416295
India,Swapan Chattopadhyay, Science and technology,65235
India,Raja Krishnamoorthi, Civil Servants,65205
India,Shikha Uberoi, Sports,65156
India,Vikas Khanna, Culinary arts,64917
India,Aruna Miller, Elected Officials,64844
India,Satish K. Tripathi, Dean/President,64635
India,Arj Barker, Comedians,64285
India,Sendhil Ramamurthy, Actors and actresses,64237
India,Rajen Sheth, Founders / Entrepreneurs / Venture Capitalists,63609
India,Mani Lal Bhaumik, Science and technology,63543
India,Kiran Desai, Literature,63294
India,Vijay Iyer, Musicians,63232
India,Danny Pudi, Actors and actresses,63077
India,Noureen DeWulf, Actors and actresses,62700
India,Mohini Bhardwaj, Sports,62682
India,Gabrielle Anwar, Actors and actresses,62572
India,Narayana Kocherlakota, Civil Servants,62234
India,Karan Brar, Actors and actresses,62130
India,Sunny Jain, Musicians,61948
India,Sachin H. Jain, Scholars,61781
India,Sunil Gulati, Sports,61501
India,Abraham Verghese, Literature,61185
India,Aneesh Raman, Media,60726
India,Narayan Hosmane, Scholars,60597
India,Eboo Patel, Religion,60312
India,Ruchi Sanghvi, Founders / Entrepreneurs / Venture Capitalists,59637
India,Akhil Amar, Scholars,59559
India,Param Gill, Activists/Civil Rights,59525
India,Adam Bhala Lough, Activists/Civil Rights,59504
India,Pradeep Khosla, Dean/President,58875
India,Sam Arora, Elected Officials,58818
India,Tarsem Singh, Activists/Civil Rights,58759
India,Renu Khator, Dean/President,58314
India,Mahzarin Banaji, Activists/Civil Rights,57827
India,Sarvadaman Chowla, Mathematicians,57719
India,Arogyaswami Paulraj, Scholars,57451
India,Bhagat Singh Thind, Activists/Civil Rights,57278
India,Pranav Mistry, Science and technology,57047
India,Padmasree Warrior, Business Executives,56874
India,Salma Arastu, Activists/Civil Rights,56273
India,Simran Sethi, Media,55833
India,Amit Sheth, Scholars,55200
India,M. A. Muqtedar Khan, Scholars,55098
India,Pulickel M. Ajayan, Scholars,55063
India,P.S. Ayyaswamy, Scholars,54928
India,Paul Shrivastava, Dean/President,54807
India,Prith Banerjee, Business Executives,53781
India,Bharati Mukherjee, Scholars,53686
India,Govindini Murty, Activists/Civil Rights,53475
India,Cathy Bissoon, Civil Servants,53410
India,Rory Cochrane, Actors and actresses,53275
India,Sashi Reddi, Founders / Entrepreneurs / Venture Capitalists,52752
India,Urvashi Vaid, Activists/Civil Rights,52751
India,Omi Vaidya, Actors and actresses,52711
India,Shwetak Patel, Scholars,52551
India,Rajeev Suri, Business Executives,52374
India,Sabu Dastagir, Actors and actresses,52371
India,Om Malik, Science and technology,52278
India,Ajit Gupta, Founders / Entrepreneurs / Venture Capitalists,51985
India,Avinash Kamalakar Dixit, Scholars,51966
India,Jogesh Pati, Science and technology,51959
India,Maya Ajmera, Activists/Civil Rights,51826
India,Raj Chetty, Scholars,51821
India,Anchal Joseph, Models,51720
India,Nivedita Kulkarni, Actors and actresses,51443
India,Ashwin Navin, Founders / Entrepreneurs / Venture Capitalists,51387
India,Tulika Mehrotra, Literature,51201
India,Kumble R. Subbaswamy, Dean/President,51156
India,Karsh Kale, Musicians,51155
India,Raj Bhavsar, Sports,51089
India,Shantanu Narayen, Business Executives,50988
India,Satya N. Atluri, Scholars,50953
India,Muzammil Siddiqi, Religion,50894
India,Anita Goel, Founders / Entrepreneurs / Venture Capitalists,50824
India,Sanjay Lal, Sports,50682
India,Gopal Raju, Media,50626
India,Summer Bishil, Actors and actresses,50537
India,Tiya Sircar, Actors and actresses,50370
India,Sabrina De Sousa, Civil Servants,50257
India,Siva S. Banda, Science and technology,50045
India,Siddharth Katragadda, Literature,50018
India,Subir Sachdev, Scholars,49844
India,Zain Verjee, Media,49724
India,Sangeeta Bhatia, Medicine,49574
India,Madhu Sudan, Scholars,49568
India,Reef Karim, Activists/Civil Rights,49443
India,Navi Rawat, Actors and actresses,49311
India,Dalip Singh Saund, Elected Officials,49247
India,Farah Pandith, Civil Servants,49127
India,Vijay Seshadri, Literature,48756
India,Akshay Venkatesh, Mathematicians,48614
India,Erick Avari, Actors and actresses,48563
India,Maulik Pancholy, Actors and actresses,48530
India,Savan Kotecha, Musicians,48295
India,Sudip Bose, Military,48099
India,Noshir Gowadia, Science and technology,47940
India,Narinder Singh Kapany, Science and technology,47613
India,Rachel Roy, Fashion designers,47523
India,Ami Parekh, Sports,47406
India,Dinesh Patel, Sports,47315
India,Usha Haley, Literature,47002
India,Ankur Jain, Founders / Entrepreneurs / Venture Capitalists,46899
India,Uma Pemmaraju, Media,46799
India,Ambi Subramaniam, Musicians,46788
India,Beheruz Sethna, Dean/President,46719
India,John Jain, Scholars,46685
India,Maya Harris, Activists/Civil Rights,46661
India,Alexi Grewal, Sports,46604
India,Abhi Talwalkar, Business Executives,46578
India,Ashok Amritraj, Activists/Civil Rights,46465
India,Girindra Mukerji, Activists/Civil Rights,46288
India,Anant Agarwal, Scholars,46209
India,Abhay Ashtekar, Scholars,46074
India,Yatin Patel, Activists/Civil Rights,45975
India,Prakash Amritraj, Sports,45657
India,Abraham George, Activists/Civil Rights,45654
India,Mriganka Sur, Scholars,45627
India,Prashant Bhargava, Activists/Civil Rights,45139
India,Avinash Kak, Scholars,45078
India,Namrata Singh Gujral, Actors and actresses,45062
India,Richard Verma, Civil Servants,44976
India,Victor Menezes, Business Executives,44967
India,Joia Mukherjee, Medicine,44937
India,Kanwal Rekhi, Former,44834
India,Chitranjan Singh Ranawat, Science and technology,44725
India,Agha Shahid Ali, Literature,44630
India,Amrit Singh, Activists/Civil Rights,44553
India,Thara Prashad, Musicians,44462
India,Pran Nath, Science and technology,44370
India,Aravind Joshi, Scholars,44366
India,Umesh Vazirani, Scholars,44095
India,Ashok Gadgil, Scholars,43952
India,Samrat Chakrabarti, Actors and actresses,43887
India,Jagdish Sheth, Scholars,43876
India,Vinod Gupta, Founders / Entrepreneurs / Venture Capitalists,43789
India,Bhargav Gajjar, Scholars,43786
India,Naren Shankar, Activists/Civil Rights,43728
India,Bikram Choudhury, Yoga,43604
India,Arun Netravali, Science and technology,43504
India,Shelly Malil, Actors and actresses,43487
India,Sakina Jaffrey, Actors and actresses,43428
India,Balamurali Ambati, Medicine,43165
India,Anu Garg, Literature,43164
India,Shihab Rattansi, Media,42883
India,Ramani Ayer, Former,42847
India,Hari Sreenivasan, Media,42747
India,Chitrabhanu, Religion,42625
India,Anil Dash, Science and technology,42453
India,J. N. Reddy, Scholars,42433
India,Anshu Jain, Business Executives,42430
India,Khem Shahani, Science and technology,42402
India,Chandrashekhar Khare, Mathematicians,42376
India,Kavita Ramdas, Activists/Civil Rights,42346
India,Francisco D'Souza, Business Executives,42182
India,Pooja Kumar, Activists/Civil Rights,42005
India,Hari Kondabolu, Comedians,41938
India,Ajay Bhatt, Science and technology,41836
India,Zarin Mehta, Musicians,41833
India,Ash, Media,41780
India,Ashok Das, Scholars,41751
India,Susham Bedi, Literature,41681
India,Jagdish Shukla, Scholars,41636
India,Raghu Raj Bahadur, Mathematicians,41541
India,Vijay Vazirani, Scholars,41437
India,Ramananda Prasad, Religion,41323
India,Sunkrish Bala, Actors and actresses,41321
India,Sant Singh Chatwal, Founders / Entrepreneurs / Venture Capitalists,41214
India,Harish Saluja, Activists/Civil Rights,41129
India,Vivek Paul, Founders / Entrepreneurs / Venture Capitalists,40988
India,Arif Alikhan, Civil Servants,40928
