Source Country,Name,Field Of Influence,Generation,Influence,Description
France,Benjamin Bonneville,Military,First Generation,67147,"Benjamin Louis Eulalie de Bonneville  was a French-born officer in the United States Army, fur trapper, and explorer in the American West"
France,Mylon LeFevre,Arts/Entertainment,Second Generation or Higher,67104,Mylon R  LeFevre  is an American Christian rock singer best known for his work with his band Mylon and Broken Heart
France,Wellman Braud,Arts/Entertainment,Second Generation or Higher,66451,Wellman Braud  was a Creole American jazz upright bassist
France,David Charvet,Arts/Entertainment,First Generation,66328,"David Franck Charvet  is a French singer, actor, model and television personality"
France,Keith DeLong,Sports,Second Generation or Higher,66067,"Keith DeLong  is a former linebacker in the NFL who played for the San Francisco 49ers from 1989-1993, earning a Super Bowl ring his rookie season from Super Bowl XXIV"
France,Vincent du Vigneaud,Academia/Science,Second Generation or Higher,66019,Vincent du Vigneaud  was an American biochemist
France,Caleb Deschanel,Arts/Entertainment,Second Generation or Higher,65809,"Joseph Caleb Deschanel, A"
France,Rene Gagnon,Military,Second Generation or Higher,65686,Ren_ Arthur Gagnon  was one of the United States Marines immortalized by Joe Rosenthal's famous World War II photograph Raising the Flag on Iwo Jima
France,Dud Lastrapes,Government,Second Generation or Higher,65215,"William Dudley Lastrapes, Jr"
France,Suzanne Malveaux,Media/Journalism,First Generation,64902,"Suzanne M  Malveaux , is an American television news journalist"
France,Michael Sinterniklaas,Arts/Entertainment,Second Generation or Higher,64569,"Michael Tremain Sinterniklaas  is an American actor, voice actor, ADR director and script writer who has provided voices for a number of English-language versions of Japanese anime films and television series, as well as video games at Central Park Media, 4Kids Entertainment, Bandai Entertainment, Media Blasters, Viz Media, Funimation and Tripwire Productions"
France,Andre B. Roman,Government,Second Generation or Higher,64427,Andr_ Bienvenue Roman  was Speaker of the Louisiana House of Representatives and the ninth Governor of Louisiana
France,David LaFleur,Sports,Second Generation or Higher,64349,David Alan LaFleur  is a former American football tight end in the National Football League who played from 1997 to 2000 for the Dallas Cowboys
France,John Vernou Bouvier III,Other,Second Generation or Higher,64231,"John Vernou ""Black Jack"" Bouvier III  was an American Wall Street stockbroker and socialite"
France,Mike Tolbert,Sports,Second Generation or Higher,63728,"William Michael Tolbert,  is an American football running back and fullback for the Carolina Panthers of the National Football League "
France,Bert Patenaude,Sports,Second Generation or Higher,63650,"Bertrand ""Bert"" Arthur Patenaude  was an American soccer player"
France,William B. Lenoir,Academia/Science,Second Generation or Higher,63489,"William Benjamin ""Bill"" Lenoir, Ph"
France,Arielle Dombasle,Arts/Entertainment,Second Generation or Higher,62958,"Arielle Dombasle born April 27, 1958 is a French-American singer, actress, director and model"
France,Julien de Lallande Poydras,Government,Second Generation or Higher,62688,"Julien de Lallande  Poydras  was a French American merchant, planter, financier, poet, educator, and political leader who served as Delegate from the Territory of Orleans to the U"
France,Todd Chretien,Government,Second Generation or Higher,62510,Todd Chretien  is an American activist
France,Richard W. Leche,Government,Second Generation or Higher,61956,Richard Webster Leche  was the 44th Governor of Louisiana from 1936 until 1939
France,Philippe Kahn,Other,Second Generation or Higher,61917,"Philippe Kahn  is a technology innovator and entrepreneur and founder of four technology companies: Fullpower Technologies, LightSurf Technologies, Starfish Software and Borland"
France,Robert LeFevre,Other,Second Generation or Higher,61783,"Robert LeFevre  was an American libertarian businessman, radio personality, and primary theorist of autarchism"
France,Harry Lennix,Arts/Entertainment,Second Generation or Higher,61504,Harry Joseph Lennix III  is an American actor
France,Chad Lavalais,Sports,Second Generation or Higher,61091,Chad Douglas Lavalais  is a former American college and professional football player who was a defensive tackle in the National Football League  for two seasons
France,Quentin Westberg,Sports,First Generation,60975,Quentin Westberg  is a French-born American soccer player who play for Sarpsborg 08 in Tippeligaen
France,Kiele Sanchez,Arts/Entertainment,Second Generation or Higher,60764,Kiele Michelle Sanchez  is an American actress who starred in the A&amp;E Network drama The Glades
France,Patrick Tatopoulos,Arts/Entertainment,First Generation,60621,"Patrick Tatopoulos is a French production designer, who lives and works in the United States"
France,Trishelle Cannatella,Arts/Entertainment,Second Generation or Higher,60375,"Trishelle Cannatella  is an American reality TV contestant, Playboy model, and actress, known for her appearances on the MTV reality television series The Real World: Las Vegas, and the Real World spinoff show The Challenge"
France,Joe Dassin,Arts/Entertainment,Second Generation or Higher,60047,"Joseph Ira ""Joe"" Dassin  was an American-born French singer-songwriter"
France,Jean Mayer,Academia/Science,First Generation,59971,"Jean Mayer  was a French-American scientist best known for his research on the physiological bases of hunger and the metabolism of essential nutrients, and for his role in shaping policy on world hunger at both the national and international levels"
France,Joseph Gervais,Arts/Entertainment,Second Generation or Higher,59550,Joseph Gervais  was a pioneer settler and trapper in the Columbia District of the Hudson's Bay Company 
France,Elmo Patrick Sonnier,Other,Second Generation or Higher,59439,"Elmo Patrick ""Pat"" Sonnier  was a convicted American murderer and rapist who was executed by electrocution at Louisiana State Penitentiary in Louisiana on April 5, 1984"
France,Brian Maisonneuve,Sports,Second Generation or Higher,59280,Brian Maisonneuve  is an American retired soccer player who played as a defensive midfielder
France,Francis Bouillon,Sports,First Generation,59245,"Francis Joseph Bouillon  is a Canadian-American professional hockey defenseman who is currently playing for HC Ambr_-Piotta in the National League A , the top-tier league in Switzerland"
France,Pierre S. du Pont,Government,Second Generation or Higher,58951,"Pierre Samuel du Pont  was an American entrepreneur, businessman, philanthropist and member of the prominent du Pont family"
France,Davy Arnaud,Sports,Second Generation or Higher,58933,Davy Arnaud  is an American soccer player who currently plays for D
France,Michael Goudeau,Arts/Entertainment,Second Generation or Higher,58889,Michael Carey Goudeau  is a juggler and an ex-circus clown who graduated from the Ringling Bros
France,Thomas W. Lamont,Other,Second Generation or Higher,58590,"Thomas William Lamont, Jr"
France,Marianne Dissard,Arts/Entertainment,First Generation,58318,"Marianne Dissard  is a singer, lyricist and filmmaker who lived in Tucson, Arizona, United States from 1994 to 2013"
France,Lili Damita,Arts/Entertainment,Second Generation or Higher,58232,Lili Damita  was a French actress and singer who appeared in 33 movies between 1922 and 1937
France,Jasmin St. Claire,Arts/Entertainment,Second Generation or Higher,58067,Jasmin St  Claire  is an American former pornographic actress
France,Damien Marchessault,Government,Second Generation or Higher,57795,"Damien Marchesseault   was the seventh Mayor of Los Angeles from May 9, 1859 to May 9, 1860 and then again from January 7, 1861 to May 6, 1865"
France,David Regis,Sports,First Generation,57667,David Regis  is a retired French-American soccer defender who played for the United States at the 1998 and 2002 World Cups
France,Grace Metalious,Literature,Second Generation or Higher,57615,"Grace Metalious  was an American author, best known for her controversial novel Peyton Place, which stayed on The New York Times bestseller list for 59 weeks"
France,Michael Durant,Military,Second Generation or Higher,57509,"Michael J  ""Mike"" Durant  is an American pilot and author who was held prisoner for eleven days in 1993 after a raid in Mogadishu, Somalia"
France,Laura Albert,Literature,Second Generation or Higher,57354,"Laura Victoria Albert  is the author of writings that include works credited to the literary persona JT LeRoy, whom Albert described as an ""avatar"", saying she was able to write things as LeRoy that she could not have said as Laura Albert"
France,Vance DeGeneres,Arts/Entertainment,Second Generation or Higher,57090,"Vance Elliott DeGeneres  is an American actor, musician, film producer and screenwriter, known for his work in television"
France,Charlotte d'Amboise,Arts/Entertainment,Second Generation or Higher,57079,Charlotte d'Amboise  is an American actress and dancer
France,Augustin de La Balme,Military,First Generation,56836,Augustin Mottin de la Balme was a French cavalry officer who served in Europe during the Seven Years' War and in the United States during the American Revolution
France,Louis Meyer,Sports,Second Generation or Higher,56788,Louis Meyer  was an American Hall of Fame race car driver who was a three-time winner of the Indianapolis 500
France,Jeffrey Vitter,Academia/Science,Second Generation or Higher,56361,Jeffrey Scott Vitter  is provost and executive vice chancellor and Roy A
France,Mary Gauthier,Arts/Entertainment,Second Generation or Higher,56065,Mary Veronica Gauthier  is an American folk singer-songwriter
France,Antoine Blanc,Religion,Second Generation or Higher,55813,Antoine Blanc  was the fifth Bishop and first Archbishop of the Roman Catholic Archdiocese of New Orleans
France,Charlie Joiner,Sports,Second Generation or Higher,55604,
France,J. B. Lenoir,Arts/Entertainment,Second Generation or Higher,55022,
France,Philip La Follette,Government,Second Generation or Higher,54964,Philip Fox La Follette  was an American politician from the US state of Wisconsin
France,Eva LaRue,Arts/Entertainment,Second Generation or Higher,54647,Eva Maria LaRue  is an American model and actress
France,Jack E. Boucher,Arts/Entertainment,Second Generation or Higher,54431,Jack E  Boucher  was an American photographer for the National Park Service for more than 40 years beginning in 1958
France,Robert C. Macon,Military,Second Generation or Higher,54428,Robert Chauncey Macon  was a general in the United States Army during World War II
France,Phil Lafleur,Sports,Second Generation or Higher,54404,"Philip Lafon  is a Canadian professional wrestler also known as Dan Kroffat  in Japan, Montreal and Extreme Championship Wrestling, Phil Lafleur in Stampede Wrestling, Phil Lafon in the World Wrestling Federation  and Rocky Venturo in Pacific Northwest Wrestling"
France,Gaston Lachaise,Arts/Entertainment,Second Generation or Higher,54367,"Gaston Lachaise  was an American sculptor of French birth, active in the early 20th century"
France,Monique Lhuillier,Arts/Entertainment,First Generation,53735,Monique Lhuillier  is a fashion designer most prominently known for bridal wear
France,Wilmer Mizell,Government,Second Generation or Higher,53528,"Wilmer David ""Vinegar Bend"" Mizell  was an American left-handed pitcher in major league baseball who went on to serve three terms as a Republican U"
France,Bill Monbouquette,Sports,Second Generation or Higher,53409,William Charles Monbouquette  was an American Major League Baseball  right-handed pitcher
France,"Raymond ""Lala"" Lalonde",Government,Second Generation or Higher,53101,"Raymond ""La La"" Lalonde  is a former Democratic member of the Louisiana House of Representatives from Carencro in Lafayette Parish"
France,Alfred Mouton,Military,Second Generation or Higher,52633,"Jean-Jacques-Alfred-Alexandre ""Alfred"" Mouton  was a Confederate general in the American Civil War"
France,James Duval,Arts/Entertainment,Second Generation or Higher,52573,"James Edward Duval  is an American actor, who is known for his roles in the Gregg Araki trilogy†Totally Fucked Up, The Doom Generation, and Nowhere†in addition to Frank in Donnie Darko, Blank in May, Miguel in Independence Day and Singh in Go"
France,Bobby Hebert,Sports,Second Generation or Higher,52502,
France,Bonnie Jill Laflin,Arts/Entertainment,Second Generation or Higher,52187,"Bonnie-Jill Laflin  is an American model, television personality and sportscaster"
France,Gary LeBeau,Government,Second Generation or Higher,51973,"Gary LeBeau  is the State Senator in Connecticut from the third senatorial district serving the towns of East Hartford, South Windsor, East Windsor, and Ellington"
France,Joey Durel,Government,Second Generation or Higher,51833,
France,Lilyan Chauvin,Arts/Entertainment,Second Generation or Higher,50951,"Lilyan Chauvin , born Lilyan Zemoz, was a French-American actress, television host, director, writer, former Vice President of Women in Film, author, teacher and private coach"
France,Richard Le Gallienne,Literature,Second Generation or Higher,50926,Richard Le Gallienne  was an English author and poet
France,Eric LaFleur,Government,Second Generation or Higher,50730,"Kenneth Eric LaFleur , generally known as Eric LeFleur, is a Democratic member of the Louisiana State Senate, first elected in 2007"
France,Greg LaFleur,Sports,Second Generation or Higher,50420,Greg LaFleur  is a former American football tight end in the National Football League
France,William Pope Duval,Government,Second Generation or Higher,50345,"William Pope Duval  was the first civilian governor of Florida Territory, succeeding Andrew Jackson who had been military governor"
France,Mary Katherine Campbell,Other,Second Generation or Higher,50072,"Mary Katherine Campbell  was the only person to win the Miss America pageant twice, and the second woman in history to win the title"
France,Napoleon LeBrun,Academia/Science,Second Generation or Higher,49995,"Napoleon Eugene Charles Henry LeBrun  was an American architect known for several notable Philadelphia churches, in particular St"
France,Zach Grenier,Arts/Entertainment,Second Generation or Higher,49810,"Zach Grenier  is an American film, television and stage actor"
France,Peter Grain,Arts/Entertainment,Second Generation or Higher,49705,Peter Grain  was a French-American artist who achieved success in the United States
France,Roger Levesque,Sports,Second Generation or Higher,49625,Roger Levesque  is a retired American soccer player
France,Bud Cort,Arts/Entertainment,Second Generation or Higher,49621,"Bud Cort  is an American film and stage actor, comedian, writer, director and voice artist widely known for his portrayals of Harold in Hal Ashby's 1971 film Harold and Maude and the eponymous hero in Robert Altman's 1970 film Brewster McCloud"
France,Yvette Mimieux,Arts/Entertainment,First Generation,49579,Yvette Mimieux  is a retired American movie and television actress
France,Armand Beauvais,Government,Second Generation or Higher,49536,"Armand Julie Beauvais  was a Justice of the Peace, a Member of the Louisiana House of Representatives, Speaker of the Louisiana House of Representatives, President of the Louisiana Senate and the seventh Governor of Louisiana"
France,Donald Ray Kennard,Government,Second Generation or Higher,49294,"Donald Ray Kennard  was an educator, athletic director, and politician who represented part of East Baton Rouge Parish in the Louisiana House of Representatives from 1976 to 2008"
France,Craig Titus,Sports,First Generation,49226,Craig Michael Titus  is an American former IFBB professional bodybuilder and a convicted murderer
France,Christian Yount,Sports,Second Generation or Higher,48884,Christian Alexander Yount  is an American football long snapper for the Cleveland Browns of the National Football League 
France,Alexander McGillivray,Arts/Entertainment,Second Generation or Higher,48783,"Alexander McGillivray, also known as Hoboi-Hili-Miko , was a principal chief of the Upper Creek  towns from 1782"
France,Bernard de Marigny,Government,First Generation,48338,"Jean-Bernard Xavier Philippe de Marigny de Mandeville , , was a French-Creole American nobleman, playboy, planter, politician, land developer, and President of the Louisiana Senate between 1822-1823"
France,Kent Desormeaux,Sports,Second Generation or Higher,48312,Kent Jason Desormeaux  is an American thoroughbred horse racing Hall of Fame jockey who holds the U
France,John Dufresne,Literature,First Generation,48241,"John Dufresne  is an American author of French Canadian descent born in Worcester, Massachusetts"
France,Danny Ardoin,Sports,Second Generation or Higher,47598,Daniel Wayne Ardoin  is a retired catcher in Major League Baseball
France,Albert Gallatin Blanchard,Military,Second Generation or Higher,47586,Albert Gallatin Blanchard  was a general in the Confederate army during the American Civil War
France,Iry LeJeune,Arts/Entertainment,Second Generation or Higher,47532,Iry LeJeune  was one of the best selling and most popular Cajun musicians in the mid to late 1940s into the early 1950s
France,Jules Brulatour,Arts/Entertainment,Second Generation or Higher,47471,Pierre Ernest Jules Brulatour  was a pioneering executive figure in American silent cinema
France,Henry S. Thibodaux,Government,First Generation,47332,"Henry Schuyler Thibodaux  was a planter and politician, who served one month in 1824 as the fourth Governor of Louisiana"
France,Robert Clary,Arts/Entertainment,First Generation,47027,"Robert Clary  is a French-American actor, published author, and lecturer"
France,Michelle Maylene,Arts/Entertainment,Second Generation or Higher,47026,"Michelle Maylene  is an actress, adult model, and former adult film star"
France,Georges Doriot,Arts/Entertainment,Second Generation or Higher,46983,Georges Frederic Doriot  was one of the first American venture capitalists
France,Pierre Derbigny,Government,Second Generation or Higher,46954,Pierre Augustin Charles Bourguignon Derbigny  was the sixth Governor of Louisiana
France,Brett Bochy,Sports,Second Generation or Higher,46715,Brett Bochy  is an American professional baseball pitcher for the San Francisco Giants of Major League Baseball 
France,Thomas Blanchard,Academia/Science,Second Generation or Higher,46460,"Thomas Blanchard  was an American inventor who lived much of his life in Springfield, Massachusetts, where in 1819, he pioneered the assembly line style of mass production in America, and also invented the major technological innovation known as interchangeable parts"
France,Richard Gautier,Arts/Entertainment,Second Generation or Higher,46352,"Dick ""Richard"" Gautier  is an actor, comedian, composer, singer and author"
France,Roy R. Theriot,Government,Second Generation or Higher,46232,
France,Abbie Boudreau,Media/Journalism,Second Generation or Higher,46176,Abbie Marie Boudreau  is an ABC television news correspondent in Los Angeles
France,Claudius Crozet,Military,Second Generation or Higher,46138,"Benoît ""Claudius"" Crozet  was an educator and civil engineer"
France,Robert B. Macon,Government,Second Generation or Higher,46138,Robert Bruce Macon  was a U
France,Leon J. LaPorte,Military,Second Generation or Higher,45977,"Leon J  LaPorte  is a retired United States Army General who served as Commander, 1st Cavalry Division from 1995 through 1997 and as Commander, United States Forces Korea until 2006"
France,Norbert Rilleaux,Academia/Science,Second Generation or Higher,45886,"Norbert Rillieux , a Creole American inventor and engineer, is most noted for his invention of the multiple-effect evaporator, an energy-efficient means of evaporating water"
France,Stephanie Trudeau,Arts/Entertainment,Second Generation or Higher,45831,Stephanie Ann Trudeau  is a beauty queen from St
France,Matilde E. Moisant,Academia/Science,Second Generation or Higher,45642,Matilde E  Moisant  was an American pioneer aviator
France,Jack Breaux,Government,Second Generation or Higher,45601,
France,Mary Cadorette,Arts/Entertainment,Second Generation or Higher,45540,"Mary Therese Cadorette  is an American actress best known for playing John Ritter's live-in girlfriend, flight attendant Vicky Bradford on the short-lived 1984 Three's Company spinoff, Three's a Crowd"
France,April Scott,Arts/Entertainment,Second Generation or Higher,45440,April Ann McIntosh  is an American actress and model known professionally as April Scott
France,Tonie Marshall,Arts/Entertainment,Second Generation or Higher,45419,"Tonie Marshall  is an actress, screenwriter, and film director in French cinema"
France,Bob St. Clair,Sports,Second Generation or Higher,45277,
France,Stephanie Szostak,Arts/Entertainment,First Generation,45032,St_phanie Szostak  is a French actress who started her career in the early 2000s
France,Pat Durham,Sports,Second Generation or Higher,44880,"Patrick Wayne ""Pat"" Durham  is a retired American professional basketball player who was selected by the Dallas Mavericks in the 2nd round  of the 1989 NBA Draft"
France,Jacques Dupre,Government,Second Generation or Higher,44790,"Jacques Dupr_  was a Louisiana State Representative, State Senator and the eighth Governor"
France,James Pitot,Government,First Generation,44649,James Pitot  was the second Mayor of New Orleans
France,Jean Joseph Amable Humbert,Military,Second Generation or Higher,44481,"General Jean Joseph Amable Humbert  was a French soldier, a participant in the French Revolution, who led a failed invasion of Ireland to assist Irish rebels in 1798"
France,Christopher d'Amboise,Arts/Entertainment,Second Generation or Higher,44328,"Christopher d'Amboise  is a danseur, choreographer, writer, and theatre director"
France,Edd Cartier,Literature,Second Generation or Higher,44323,"Edward Daniel Cartier , known professionally as Edd Cartier, was an American pulp magazine illustrator who specialized in science fiction and fantasy art"
France,Peter Force,Government,Second Generation or Higher,44312,"Peter Force  was a 19th-century American politician, newspaper editor, archivist, and historian"
France,"F.O. ""Potch"" Didier",Government,Second Generation or Higher,44143,
France,David Bergeron,Sports,Second Generation or Higher,44018,David Bergeron  is an NFL linebacker who played with the Carolina Panthers
France,Brent Bourgeois,Arts/Entertainment,Second Generation or Higher,43930,"Brent Thomas Bourgeois  is an American rock musician, songwriter, and producer"
France,Bob Duval,Sports,Second Generation or Higher,43577,"Robert Duval  is an American professional golfer and is best known for being the father of David Duval, formerly the top-ranked player in the world"
France,Rod La Rocque,Arts/Entertainment,First Generation,43508,Rod La Rocque  was an American actor
France,Claude Marie Dubuis,Religion,First Generation,43435,Claude Marie Dubuis  was a French-born prelate of the Roman Catholic Church
France,Brittny Gastineau,Arts/Entertainment,Second Generation or Higher,43376,"Brittny Gastineau  is an American model, socialite, and reality television personality"
France,Christian LeBlanc,Arts/Entertainment,Second Generation or Higher,42865,"Christian Jules LeBlanc  is an American actor, best known for his role as Michael Baldwin on CBS The Young and the Restless"
France,Jennifer Lavoie,Arts/Entertainment,Second Generation or Higher,42709,"Jennifer J  Lavoie  is an American model, actress and entrepreneur"
France,Richard Chichester du Pont,Other,Second Generation or Higher,42537,Richard Chichester du Pont  was an American businessman and an aviation and glider pioneer who was a member of the prominent Du Pont family
France,Frederick Rosier,Military,Second Generation or Higher,42455,"Air Chief Marshal Sir Frederick Rosier GCB, CBE, DSO  was a Royal Air Force commander"
France,Daniel Roberdeau,Arts/Entertainment,Second Generation or Higher,42442,"Daniel Roberdeau  was an American merchant residing in Philadelphia, Pennsylvania at the time of the American War of Independence"
France,Jean Cruguet,Sports,Second Generation or Higher,42289,Jean Cruguet  is a French-American thoroughbred horse racing jockey who won the United States Triple Crown of Thoroughbred Racing
France,Paul Tulane,Other,First Generation,42247,"Paul Tulane , was an American philanthropist, born near Princeton, New Jersey, the son of Louis Tulane, a French immigrant, and Maria Tulane"
France,Edward Livingston Trudeau,Academia/Science,First Generation,42198,Edward Livingston Trudeau  was an American physician who established the Adirondack Cottage Sanitarium at Saranac Lake for treatment of tuberculosis
France,Peter Bergeron,Sports,Second Generation or Higher,42187,Peter Francis Bergeron  is an American former professional baseball outfielder and current Major League scout
France,Amie Comeaux,Arts/Entertainment,Second Generation or Higher,41937,Amie Noelle Comeaux  was an American country music singer who gained fame in her teens
France,Nicole duFresne,Arts/Entertainment,Second Generation or Higher,41568,Nicole duFresne  was a Minnesota-born playwright and actress
France,Louis Philippe de Roffignac,Government,Second Generation or Higher,41431,"Count Louis Philippe de Roffignac   was a wealthy Louisiana merchant, banker, member of the state legislature and the 9th Mayor of New_Orleans in 1820-1828"
France,Mitch Frerotte,Sports,Second Generation or Higher,40813,"Paul Mitchael Frerotte  was an American professional football player who played as a guard for four seasons in the National Football League, all with the Buffalo Bills"
France,Peter Faneuil,Arts/Entertainment,Second Generation or Higher,40813,"Peter Faneuil  was a wealthy American colonial merchant, slave trader, and philanthropist who donated Faneuil Hall to Boston"
France,Dan Ingram,Arts/Entertainment,Second Generation or Higher,40682,"Daniel Trombley ""Dan"" Ingram  is an American Top 40 radio disc jockey with a forty-year career on radio stations such as WABC and WCBS-FM in New York"
France,Thomas Carlin,Government,Second Generation or Higher,40624,"Thomas Carlin  was the seventh Governor of Illinois, serving from 1838 to 1842"
France,Jennifer LeRoy,Arts/Entertainment,Second Generation or Higher,40475,Jennifer LeRoy  is an American model and actress
France,Joseph Rosier,Government,Second Generation or Higher,40304,Joseph Rosier  was a United States Senator from West Virginia
France,Ashton J. Mouton,Government,Second Generation or Higher,40192,
France,Michael Doucet,Arts/Entertainment,Second Generation or Higher,39835,"Michael Doucet  is an American Cajun fiddler, singer and songwriter who founded the Cajun band BeauSoleil from Lafayette, Louisiana"
France,Sabrina Le Beauf,Arts/Entertainment,Second Generation or Higher,39762,Sabrina Le Beauf  is an American actress best known for her portrayal of Sondra Huxtable Tibideaux on the NBC situation comedy The Cosby Show
France,Chris DeFrance,Sports,Second Generation or Higher,39735,Chris Anthony DeFrance  is a former American football wide receiver in the National Football League for the Washington Redskins
France,Paul Capdevielle,Government,Second Generation or Higher,39731,"Paul Capdevielle  was mayor of New_Orleans, Louisiana, from May 9, 1900 to December 5, 1904"
France,John Brennan Hussey,Government,Second Generation or Higher,39469,
France,Hal LeSueur,Arts/Entertainment,Second Generation or Higher,39382,Hal Hays LeSueur  was an American actor
France,Adrian Nicole LeBlanc,Media/Journalism,Second Generation or Higher,39273,"Adrian Nicole LeBlanc is an American journalist whose works focus on the marginalized members of society: adolescents living in poverty, prostitutes, women in prison, etc"
France,Lloyd Jacquet,Arts/Entertainment,Second Generation or Higher,39235,"Lloyd Victor Jacquet  was the founder of Funnies, Inc"
France,Augustus D. Juilliard,Other,Second Generation or Higher,39069,"Augustus D  Juilliard  was an American businessman whose philanthropy built the renowned conservatory of dance, music, and theatre in New York City that bears his name, The Juilliard School"
France,Alexis F. du Pont,Other,Second Generation or Higher,39065,
France,Eric Guerin,Sports,Second Generation or Higher,39019,Oliver Eric Guerin  is an American Hall of Fame jockey
France,Maria McBane,Arts/Entertainment,First Generation,39005,Maria McBane  is a French American model and actress who was Playboy magazine's Playmate of the Month for its May 1965 issue
France,Philippe Cousteau Jr.,Academia/Science,Second Generation or Higher,38969,"Philippe-Pierre Jacques-Yves Arnault Cousteau, Jr"
France,Beth Toussaint,Arts/Entertainment,Second Generation or Higher,38829,"Elizabeth ""Beth"" Toussaint Coleman  is an American actress and model"
France,Dave Fergerson,Sports,First Generation,38742,David Anthony Fergerson  is an American professional basketball player who has a French passport as second nationality
France,Nicholas Girod,Government,Second Generation or Higher,38670,"Nicholas Girod or Nicolas Girod  was the sixth mayor of New Orleans, from late in 1812 to 4 September 1815"
France,Peter L'Huillier,Religion,Second Generation or Higher,38623,Paul L'Huillier  was a prominent scholar and the archbishop of the Orthodox Church in America's Diocese of New York and New Jersey
France,John R. MacArthur,Media/Journalism,Second Generation or Higher,38433,"John R  ""Rick"" MacArthur  is an American journalist and author of books about US politics"
France,Tiffany Dupont,Arts/Entertainment,Second Generation or Higher,38340,"Tiffany Dupont  is an American actress, known for playing the lead character, Hadassah, a Jewish girl who will become the Biblical Esther, Queen of Persia, in the Hollywood film One Night with the King"
France,Max Macon,Sports,Second Generation or Higher,37615,Max Cullen Macon  was a Major League Baseball player and Minor League Baseball Manager
France,Mike DeJean,Sports,Second Generation or Higher,37603,Michael Dwain DeJean  is a former right-handed relief pitcher in Major League Baseball
France,Virginie de Ternant,Other,Second Generation or Higher,37436,"Marie Virginie de Ternant, n_e Trahan , was the owner and manager of the Parlange Plantation, near New Roads, Pointe Coupee Parish, Louisiana"
France,Hope Portocarrero,Government,Second Generation or Higher,37433,"Hope Portocarrero, also known as Madame Somoza  was the First Lady of Nicaragua, the wife of dictator Anastasio Somoza Debayle and mother of Anastasio Somoza Portocarrero"
France,Bryant Butler Brooks,Government,Second Generation or Higher,37227,"Bryant Butler Brooks  was an American businessman, rancher and politician"
France,Reni Santoni,Arts/Entertainment,First Generation,37075,"Reni Santoni  is an American film, television and voice actor"
France,Marquis Duquesne,Arts/Entertainment,Second Generation or Higher,37070,"Michel-Ange Du Quesne de Menneville, Marquis Du Quesne  was a French Governor General of New France"
France,Tina Aumont,Arts/Entertainment,Second Generation or Higher,36698,"Maria Christina ""Tina"" Aumont  was a French actress"
France,William Sublette,Arts/Entertainment,Second Generation or Higher,36669,"William Lewis Sublette  was a fur trapper, pioneer and mountain man, who, with his brothers after 1823, became an agent of the Rocky Mountain Fur Company , exploiting the riches of the Oregon Country, which helped settle the best routes later improved into the Oregon Trail"
France,Val Dufour,Arts/Entertainment,Second Generation or Higher,36528,"Val Dufour, born Albert Val_ry Dufour  was an American actor"
France,Charles Genois,Government,Second Generation or Higher,36465,Charles Genois  was the Mayor of New Orleans from May 1838 to May 1840
France,Merritt Cabal,Arts/Entertainment,Second Generation or Higher,36404,Merritt Cabal  is an American model
France,Henry Durant,Government,Second Generation or Higher,36356,Henry Durant  was the founding president of the University of California
France,Mitch Bouyer,Military,Second Generation or Higher,36299,Mitch Bouyer   was an interpreter and guide in the Old West following the American Civil War
France,Adam LeFevre,Arts/Entertainment,Second Generation or Higher,36142,"Adam LeFevre  is an American character actor, poet and playwright who works in cinema, television, theater and commercials"
France,Pierre,Government,First Generation,35965,Pierre is a masculine given name
France,William Freret,Government,Second Generation or Higher,35806,"William Freret  was Mayor of New Orleans from May_10, 1840, to April_4, 1842, and again from February_27, 1843, to May_12, 1844"
France,Guy Hebert,Sports,Second Generation or Higher,35778,Guy Andre Hebert  is a retired American professional ice hockey goaltender
France,William G. Fournier,Military,Second Generation or Higher,35746,William Grant Fournier   was a United States Army soldier and a recipient of the United States military's highest decoration†the Medal of Honor†for his actions in World War II
France,Ric Bucher,Media/Journalism,Second Generation or Higher,35517,"Richard Mathias ""Ric"" Bucher  is a SiriusXM radio host, mornings  on the Bleacher Report Channel and Mondays on NBA Radio "
France,Billy Lyon,Sports,Second Generation or Higher,35499,William Morton Lyon  is a former American football defensive end and defensive tackle in the National Football League who played for the Green Bay Packers and the Minnesota Vikings
France,Nadia McCaffrey,Other,Second Generation or Higher,35456,"Nadia McCaffrey was born April 17, 1945 in Paris, France and married an American, Bob McCaffrey; then she immigrated to the United States"
France,Rosita Marstini,Arts/Entertainment,Second Generation or Higher,35326,"Rosita Marstini  was a dancer, stage personality, silent and sound film actress from Nancy, France"
France,Frances Heflin,Arts/Entertainment,Second Generation or Higher,35160,Mary Frances Heflin  was an American actress
France,Wylie Dufresne,Arts/Entertainment,Second Generation or Higher,35061,Wylie Dufresne  is the chef and owner of the wd~50 and Alder restaurants in Manhattan
France,Steve Lavigne,Arts/Entertainment,Second Generation or Higher,35059,Steve Lavigne  is an American comic book illustrator best known for his lettering and coloring on the Teenage Mutant Ninja Turtles title for Mirage Studios
France,Angela Dufresne,Arts/Entertainment,Second Generation or Higher,34920,Angela Dufresne  is a Brooklyn based American artist known for paintings that explore narrative in a variety of ways
France,W. A. Mathieu,Arts/Entertainment,Second Generation or Higher,34868,"William Allaudin Mathieu  is a composer, pianist, choir director, music teacher, and author"
