Source Country,Name,Field Of Influence,Generation,Influence,Description
France,Mary Pierce,Sports,First Generation,264561,Mary Pierce  is a French-American retired tennis professional who played on the Women's Tennis Association  tour
France,Jack Kerouac,Literature,First Generation,264100,Jack Kerouac  was an American novelist and poet
France,Ellen DeGeneres,Arts/Entertainment,Second Generation or Higher,258404,"Ellen Lee DeGeneres  is an American comedian, television host, actress, writer, and producer"
France,Paul Martin,Sports,Second Generation or Higher,257445,"Paul Edgar Philippe Martin PC_CC , also known as Paul Martin Jr"
France,Oliver Stone,Arts/Entertainment,First Generation,256376,"William Oliver Stone  is an American film director, screenwriter, producer and military veteran"
France,Huey Long,Government,Second Generation or Higher,255500,
France,Caroline Kennedy,Government,First Generation,252677,"Caroline Bouvier Kennedy  is an American author, attorney, and the current United States Ambassador to Japan"
France,Ciara,Arts/Entertainment,Second Generation or Higher,244540,"Ciara Princess Harris , known mononymously as Ciara , is an American singer, songwriter, record producer, dancer, actress and fashion model"
France,Andy Pettitte,Sports,Second Generation or Higher,239290,"Andrew Eugene ""Andy"" Pettitte  is an American former baseball starting pitcher who played 18 seasons in Major League Baseball , primarily for the New York Yankees"
France,Robert Duvall,Arts/Entertainment,Second Generation or Higher,238678,Robert Selden Duvall[pronunciation?]  is an American actor and director
France,Jessica Alba,Arts/Entertainment,Second Generation or Higher,238485,"Jessica Marie Alba  is an American actress, model, and businesswoman"
France,Pierre Monteux,Arts/Entertainment,Second Generation or Higher,236926,Pierre Benjamin Monteux [n 1] was a French  conductor
France,Leo Durocher,Sports,First Generation,234934,"Leo Ernest Durocher , nicknamed Leo the Lip, was an American professional baseball player and manager"
France,Dave Mustaine,Arts/Entertainment,Second Generation or Higher,234696,"David Scott ""Dave"" Mustaine  is an American musician"
France,Jason Marquis,Sports,Second Generation or Higher,233347,Jason Scott Marquis  is an American professional baseball pitcher for the Cincinnati Reds of Major League Baseball 
France,Jim Carrey,Arts/Entertainment,Second Generation or Higher,232639,"James Eugene ""Jim"" Carrey  is a Canadian American actor, comedian, impressionist, screenwriter, and film producer"
France,John James Audubon,Academia/Science,First Generation,230824,"John James Audubon , born Jean-Jacques Audubon, was an American ornithologist, naturalist, and painter"
France,Claudette Colbert,Arts/Entertainment,Second Generation or Higher,229100,"Claudette Colbert  was a French-born American actress, and a leading lady for two decades"
France,Kyle Hebert,Arts/Entertainment,Second Generation or Higher,226214,"Kyle Henry Hebert  is an American voice actor and podcaster who works for anime and video game series, such as the teenage and adult Gohan and the narrator in the Funimation dub of the Dragon Ball series, S_suke Aizen in Bleach, Ryu in the Street Fighter video game series, Kiba Inuzuka in Naruto, Kamina in Gurren Lagann, and Ryuji Suguro in Blue Exorcist"
France,Jim Thorpe,Sports,Second Generation or Higher,224097,"James Francis ""Jim"" Thorpe : Wa-Tho-Huk, translated as ""Bright Path""; May 28, 1888_"
France,Clarence White,Arts/Entertainment,Second Generation or Higher,216591,"Clarence White , was an American bluegrass and country guitarist and singer"
France,Joan Crawford,Arts/Entertainment,Second Generation or Higher,216591,Joan Crawford [Note 1] was an American film and television actress who started as a dancer and stage chorine
France,Megan Fox,Arts/Entertainment,Second Generation or Higher,215982,Megan Denise Fox  is an American actress and model
France,Solange Knowles,Arts/Entertainment,Second Generation or Higher,214068,"Solange Piaget Knowles  is an American singer, songwriter, model, and actress"
France,Taylor Lautner,Arts/Entertainment,Second Generation or Higher,210031,"Taylor Daniel Lautner  is an American actor, model and martial artist"
France,Frederic Remington,Arts/Entertainment,Second Generation or Higher,208765,"Frederic Sackrider Remington  was an American painter, illustrator, sculptor, and writer who specialized in depictions of the Old American West, specifically concentrating on the last quarter of the 19th-century American West and images of cowboys, American Indians, and the U"
France,Sylvester Stallone,Arts/Entertainment,First Generation,208010,"Sylvester Gardenzio Stallone , nicknamed Sly Stallone, is an American actor, screenwriter and film director"
France,Buffalo Bill Cody,Arts/Entertainment,Second Generation or Higher,206990,"William Frederick ""Buffalo Bill"" Cody  was an American scout, bison hunter, and showman"
France,Zooey Deschanel,Arts/Entertainment,Second Generation or Higher,205543,"Zooey Claire Deschanel  is an American actress, singer-songwriter, and musician"
France,Ron Guidry,Sports,Second Generation or Higher,205457,"Ronald Ames Guidry , nicknamed ""Louisiana Lightning"" and ""Gator"", is a former Major League Baseball left-handed pitcher"
France,Randy Couture,Sports,Second Generation or Higher,204109,"Randy Duane Couture  is an American actor, retired mixed martial artist and former collegiate and Greco-Roman wrestler"
France,Anthony Bourdain,Arts/Entertainment,Second Generation or Higher,201491,"Anthony Michael Bourdain  is an American chef, author, and television personality"
France,Louise Bourgeois,Arts/Entertainment,First Generation,200713,"Louise Jos_phine Bourgeois , was a French-American artist and sculptor"
France,Julia Louis,Arts/Entertainment,Second Generation or Higher,197912,"Julia Scarlett Elizabeth Louis-Dreyfus  is an American actress, comedian, and producer"
France,Charlie Manuel,Sports,Second Generation or Higher,191749,
France,Bruce Bochy,Sports,Second Generation or Higher,190082,Bruce Douglas Bochy  is the manager of the San Francisco Giants
France,Paul Revere,Arts/Entertainment,Second Generation or Higher,189122,"Paul Revere  was an American silversmith, engraver, early industrialist, and a patriot in the American Revolution"
France,Ryan Phillippe,Arts/Entertainment,Second Generation or Higher,188040,"Matthew Ryan Phillippe , better known as Ryan Phillippe, is an American actor and director"
France,Jean Lafitte,Other,Second Generation or Higher,187336,Jean Lafitte  was a French-American pirate and privateer in the Gulf of Mexico in the early 19th century
France,Katie Couric,Arts/Entertainment,Second Generation or Higher,185879,"Katherine Anne ""Katie"" Couric  is an American journalist and author"
France,Brett Bodine,Sports,Second Generation or Higher,182282,Brett Bodine  is a former NASCAR Winston Cup Series driver and is the current driver of the pace car in Sprint Cup events
France,Lou Boudreau,Sports,Second Generation or Higher,181722,"Louis ""Lou"" Boudreau  was an American Major League Baseball player and manager"
France,Eugene Debs,Government,Second Generation or Higher,175406,"Eugene Victor ""Gene"" Debs  was an American union leader, one of the founding members of the Industrial Workers of the World , and five times the candidate of the Socialist Party of America for President of the United States"
France,Steve Prefontaine,Sports,Second Generation or Higher,174783,"Steve Roland ""Pre"" Prefontaine  was an American middle and long-distance runner who competed in the 1972 Olympics"
France,Paul Arizin,Sports,Second Generation or Higher,171806,"Paul Joseph Arizin , nicknamed ""Pitchin' Paul,"" was an American basketball player who spent his entire National Basketball Association  career with the Philadelphia Warriors from 1950 to 1962"
France,Tom Landry,Sports,Second Generation or Higher,170703,"Thomas Wade ""Tom"" Landry  was an American football player and coach"
France,Pierre Charles L'Enfant,Academia/Science,First Generation,162732,"Pierre ""Peter"" Charles L'Enfant  was a French-born American architect and civil engineer best known for designing the layout of the streets of Washington, D"
France,Greg Biffle,Sports,Second Generation or Higher,162641,"Gregory Jack ""Greg"" Biffle  is a NASCAR driver who drives the No"
France,Sara Bareilles,Arts/Entertainment,Second Generation or Higher,162637,Sara Beth Bareilles  is an American singer-songwriter and musician
France,Jake Delhomme,Sports,Second Generation or Higher,162191,Jake Christopher Delhomme  is a former American football quarterback
France,Joakim Noah,Sports,First Generation,161399,Joakim Simon Noah  is a professional basketball player who plays for the Chicago Bulls of the National Basketball Association 
France,Laila Ali,Sports,Second Generation or Higher,161232,Laila Amaria Ali  is a retired undefeated American professional boxer
France,Tila Tequila,Arts/Entertainment,First Generation,160241,"Tila Nguyen , better known by her stage names Tila Tequila and Miss Tila, is an American model, television personality, singer, songwriter, actress, writer and blogger"
France,Gavin DeGraw,Arts/Entertainment,Second Generation or Higher,159573,Gavin Shane DeGraw  is an American musician and singer-songwriter
France,Tom Glavine,Sports,Second Generation or Higher,159541,"Thomas Michael ""Tom"" Glavine  is an American retired professional baseball player"
France,P. G. T. Beauregard,Academia/Science,First Generation,158864,"Pierre Gustave Toutant-Beauregard  was a Louisianan-born American military officer, politician, inventor, writer, civil servant, and the first prominent general of the Confederate States Army during the American Civil War"
France,Steve Largent,Sports,Second Generation or Higher,156174,"Steven Michael ""Steve"" Largent  is a retired American football player, enshrined in the Pro Football Hall of Fame, and a former Republican politician, having served in the U"
France,Dick Vermeil,Sports,Second Generation or Higher,155709,"Richard Albert ""Dick"" Vermeil  is a retired American head coach for the National Football League's Philadelphia Eagles , St"
France,Curly Lambeau,Sports,Second Generation or Higher,150261,"Earl Louis ""Curly"" Lambeau  was founder, player, and first coach of the Green Bay Packers professional football team"
France,Jessica Biel,Arts/Entertainment,Second Generation or Higher,149588,Jessica Claire Timberlake  is an American actress
France,Prince Achille Murat,Military,Second Generation or Higher,148752,"Prince Achille Murat  was the eldest son of the Napoleonic King of Naples during the First French Empire, and later the mayor of Tallahassee, Florida in the United States"
France,Victoria Justice,Arts/Entertainment,Second Generation or Higher,148012,Victoria Dawn Justice  is an American actress and singer
France,Teri Hatcher,Arts/Entertainment,Second Generation or Higher,147146,"Teri Lynn Hatcher  is an American actress, writer, presenter, and former NFL cheerleader"
France,Earl Long,Government,Second Generation or Higher,146651,Earl Kemp Long  was an American politician and the 45th Governor of Louisiana for three non-consecutive terms
France,Bill Nye,Academia/Science,Second Generation or Higher,146201,"William Sanford ""Bill"" Nye , popularly known as Bill Nye the Science Guy, is an American science educator, comedian, television host, actor, writer, scientist, and former mechanical engineer, best known as the host of the Disney/PBS children's science show Bill Nye the Science Guy  and for his many subsequent appearances in popular media as a science educator"
France,Willem Dafoe,Arts/Entertainment,Second Generation or Higher,145978,"William J  ""Willem"" Dafoe  is an American actor"
France,Darrell Royal,Sports,Second Generation or Higher,144547,Darrell K Royal  was an American football player and coach
France,Phil Anselmo,Arts/Entertainment,First Generation,144120,"Philip Hansen ""Phil"" Anselmo  is an American musician who is best known as the former lead singer of the heavy metal band Pantera"
France,Zach Parise,Sports,First Generation,142834,"Zachary Parise  is an American professional ice hockey left winger of French-Canadian heritage, an alternate captain for the Minnesota Wild in the National Hockey League "
France,Channing Tatum,Arts/Entertainment,Second Generation or Higher,141779,"Channing Matthew Tatum  is an American actor, film producer, dancer, and model"
France,Earl W. Bascom,Arts/Entertainment,Second Generation or Higher,137883,"Earl W  Bascom  was an American painter, printmaker, rodeo performer and sculptor, raised in Canada, who portrayed his own experiences cowboying and rodeoing across the American and Canadian West"
France,Michael Michaud,Government,Second Generation or Higher,135923,"Michael Herman ""Mike"" Michaud  is an American politician from Maine"
France,Jeff Francoeur,Sports,First Generation,134441,"Jeffrey Braden Francoeur , nicknamed ""Frenchy"", is an American professional baseball right fielder for the Philadelphia Phillies of Major League Baseball "
France,Izabel Goulart,Government,Second Generation or Higher,134299,"Maria Izabel Goulart Dourado , better known as Izabel Goulart, is a Brazilian model"
France,Izzy Stradlin,Arts/Entertainment,Second Generation or Higher,134068,"Jeffrey Dean Isbell , known by his stage name Izzy Stradlin, is an American musician and songwriter"
France,Jean Baptiste Point du Sable,Arts/Entertainment,First Generation,133675,"Jean Baptiste Point du Sable [n 1]  is regarded as the first permanent resident of what became Chicago, Illinois"
France,William F. Durand,Academia/Science,Second Generation or Higher,132977,William Frederick Durand  was a United States naval officer and pioneer mechanical engineer
France,Charlton Lyons,Government,Second Generation or Higher,132815,"Charlton Havard Lyons, Sr"
France,Alice Guy,Arts/Entertainment,First Generation,132696,Alice Guy-Blach_  was an early French filmmaker
France,Jack LaLanne,Sports,Second Generation or Higher,132295,"Francois Henri ""Jack"" LaLanne  was an American fitness, exercise, and nutritional expert and motivational speaker who is sometimes called ""the godfather of fitness"" and the ""first fitness superhero"
France,Colbie Caillat,Arts/Entertainment,Second Generation or Higher,130632,"Colbie Marie Caillat  is an American pop singer-songwriter and acoustic guitarist from Malibu, California"
France,Andre Ethier,Sports,Second Generation or Higher,130467,"Andre Everett Ethier , is a Major League Baseball outfielder for the Los Angeles Dodgers"
France,Rose McGowan,Arts/Entertainment,Second Generation or Higher,129405,Rose Arianna McGowan  is an American actress and singer
France,Jon Favreau,Arts/Entertainment,Second Generation or Higher,127872,"Jonathan Kolia ""Jon"" Favreau  is an American actor, director, screenwriter, voice artist, and comedian"
France,Melanie Oudin,Sports,Second Generation or Higher,127277,Melanie Oudin  is an American tennis player and former world junior no
France,Claire Lee Chennault,Military,Second Generation or Higher,126871,"Lieutenant General Claire Lee Chennault  was an American military aviator best known for his leadership of the American ""Flying Tigers"" and the Republic of China Air Force in World War II"
France,Felix Rohatyn,Other,Second Generation or Higher,126641,Felix George Rohatyn  is an American investment banker
France,Josh Duhamel,Arts/Entertainment,Second Generation or Higher,124752,"Joshua David ""Josh"" Duhamel  is an American actor and former fashion model"
France,Pierre Samuel du Pont de Nemours,Literature,Second Generation or Higher,124374,"Pierre Samuel du Pont de Nemours  was a French writer, economist, publisher and government official"
France,Danielle Lacourse,Arts/Entertainment,Second Generation or Higher,122559,"Miss USA 2007, the 56th Miss USA pageant, was held in Hollywood, California, on March 23, 2007, after two weeks of events and preliminary competition"
France,Ervil LeBaron,Other,Second Generation or Higher,122386,"Ervil Morrell LeBaron  was the leader of a polygamous Mormon fundamentalist group who ordered the killings of many of his opponents, using the religious doctrine of blood atonement to justify the murders"
France,Charles Boyer,Arts/Entertainment,Second Generation or Higher,121597,Charles Boyer  was a French actor who appeared in more than 80 films between 1920 and 1976
France,Gus Frerotte,Sports,Second Generation or Higher,121407,"Gustave Joseph ""Gus"" Frerotte  is a former American football quarterback"
France,Lon Chaney,Arts/Entertainment,Second Generation or Higher,120454,"Leonidas Frank ""Lon"" Chaney  was an American stage and film actor, director and screenwriter"
France,Ray Guy,Sports,Second Generation or Higher,120253,William Ray Guy  is a retired American football punter for the Oakland/Los Angeles Raiders of the National Football League 
France,Brandon Routh,Arts/Entertainment,Second Generation or Higher,120227,Brandon James Routh  is an American actor and former fashion model
France,John Sevier,Government,Second Generation or Higher,119628,"John Sevier  was an American soldier, frontiersman and politician, and one of the founding fathers of the State of Tennessee"
France,Stephen Baldwin,Arts/Entertainment,Second Generation or Higher,118524,"Stephen Andrew Baldwin  is an American actor, director, producer and author"
France,Leslie Caron,Arts/Entertainment,Second Generation or Higher,117805,Leslie Claire Margaret Caron  is a French and American film actress and dancer who appeared in 45 films between 1951 and 2003
France,Francis Ouimet,Sports,Second Generation or Higher,117679,"Francis DeSales Ouimet  was an American amateur golfer who is frequently referred to as the ""father of amateur golf"" in the United States"
France,Chad Gaudin,Sports,Second Generation or Higher,117385,Chad Edward Gaudin  is an American professional baseball pitcher in the Los Angeles Dodgers organization
France,Moon Landrieu,Government,Second Generation or Higher,117353,"Maurice Edwin Landrieu, known as Moon Landrieu , is a Democratic politician from Louisiana who served as Mayor of New Orleans from 1970 to 1978"
France,Robert Goulet,Arts/Entertainment,Second Generation or Higher,117213,Robert Gerard Goulet  was an American singer and actor of French Canadian ancestry and Canadian upbringing and training after birth in Massachusetts
France,Louis L'Amour,Literature,Second Generation or Higher,115126,Louis Dearborn L'Amour  was an American author
France,Leelee Sobieski,Arts/Entertainment,Second Generation or Higher,115059,"Liliane Rudabet Gloria Elsveta Sobieski , known professionally as Leelee Sobieski, is an American film and television actress"
France,Lorraine Bracco,Arts/Entertainment,First Generation,114306,Lorraine Bracco  is an American actress
France,Baroness Micaela Almonester de Pontalba,Other,First Generation,114115,"Micaela Leonarda Antonia Almonester y Rojas, Baroness de Pontalba  was a wealthy New Orleans-born aristocrat, businesswoman, and real estate developer, and one of the most dynamic personalities of that city's history"
France,Tyrann Mathieu,Sports,Second Generation or Higher,113632,Tyrann Devine Mathieu  is an American football free safety for the Arizona Cardinals of the National Football League 
France,Maggie Quigley,Arts/Entertainment,Second Generation or Higher,112017,"Margaret Denise Quigley , professionally known as Maggie Q, is an American actress and model"
France,Wentworth Miller,Arts/Entertainment,Second Generation or Higher,111784,"Wentworth Earl Miller III  is an American actor, model, screenwriter and producer"
France,Charles Joseph Bonaparte,Government,First Generation,111503,Charles Joseph Bonaparte  was an American lawyer and political activist for progressive and liberal causes
France,Frank Abagnale,Other,Second Generation or Higher,111133,"Frank William Abagnale, Jr"
France,Cal Hubbard,Sports,Second Generation or Higher,110438,Robert Calvin Hubbard  was a professional American football player and Major League Baseball  umpire
France,Joel Roberts Poinsett,Government,Second Generation or Higher,110251,Joel Roberts Poinsett  was an American physician and diplomat
France,John Larroquette,Arts/Entertainment,Second Generation or Higher,109893,"John Bernard Larroquette  is an American film, television and stage actor"
France,Francis Marion,Military,Second Generation or Higher,109531,Francis Marion  was a military officer who served in the American Revolutionary War
France,Julie Delpy,Arts/Entertainment,First Generation,109140,"Julie Delpy  is a French-American actress, film director, screenwriter, and singer-songwriter"
France,Caprice Bourret,Arts/Entertainment,Second Generation or Higher,108078,"Caprice Bourret  is an American businesswoman, model, actress and television personality"
France,Nick Lachey,Arts/Entertainment,Second Generation or Higher,107190,"Nicholas Scott ""Nick"" Lachey  is an American singer-songwriter, actor, producer, and television personality"
France,Brad Dourif,Arts/Entertainment,Second Generation or Higher,106572,"Bradford Claude Dourif , known as Brad Dourif, is an American actor, voice artist, and comedian who gained early fame for his portrayal of Billy Bibbit in One Flew Over the Cuckoo's Nest, which brought him Golden Globe- and BAFTA Awards, as well as an Academy Award nomination"
France,F. Edward Hebert,Government,Second Generation or Higher,106240,"Felix Edward H_bert , known as F"
France,Tyrone Power,Arts/Entertainment,First Generation,105716,
France,Dick LeBeau,Sports,Second Generation or Higher,105703,"Charles Richard ""Dick"" LeBeau  is an American football coach and former cornerback"
France,James Blanchard,Government,Second Generation or Higher,105654,"James Johnston ""Jim"" Blanchard  is an American politician from Michigan"
France,Jerry Remy,Sports,Second Generation or Higher,104352,"Gerald Peter Remy, commonly known as Jerry Remy,  is a Major League Baseball broadcaster and former Major League Baseball second baseman"
France,Dick Jauron,Sports,Second Generation or Higher,103869,Richard Manuel Jauron  is a former National Football League  player and coach
France,Adras LaBorde,Media/Journalism,Second Generation or Higher,103262,"Adras Paul LaBorde, I , was a reporter, managing editor, and columnist for the Alexandria Daily Town Talk, the largest newspaper in Central Louisiana"
France,Tom Sizemore,Arts/Entertainment,Second Generation or Higher,102625,"Thomas Edward ""Tom"" Sizemore, Jr"
France,Simon Favre,Other,First Generation,102390,"Simon Favre  was an interpreter of the Muskogean languages, particularly Choctaw and Chickasaw, for the French, British, Spanish and Americans in the part of West Florida that became part of the states of Mississippi and Alabama"
France,Brooke Burke,Arts/Entertainment,First Generation,102280,"Brooke Burke-Charvet , better known by her maiden name, Brooke Burke, is an American actress, dancer, model and television personality"
France,Raymond Loewy,Arts/Entertainment,First Generation,102236,Raymond Loewy  was a French-born American industrial designer who achieved fame for the magnitude of his design efforts across a variety of industries
France,Tammy Faye Messner,Religion,Second Generation or Higher,102190,"Tamara Faye LaValley Bakker Messner  was an American Christian singer, evangelist, entrepreneur, author, talk show host, and television personality"
France,Nicolas Rossolimo,Sports,Second Generation or Higher,101183,_êNicolas Rossolimoê”  was an American-French-Greek-Russian chess Grandmaster
France,Will Durant,Literature,First Generation,100461,"William James Durant  was an American writer, historian, and philosopher"
France,Joe DeLamielleure,Sports,Second Generation or Higher,99378,Joseph Michael DeLamielleure  is a former American football offensive lineman who was an All-American at Michigan State
France,Adrienne Barbeau,Arts/Entertainment,Second Generation or Higher,99239,Adrienne Jo Barbeau  is an American actress and the author of three books
France,Tommy Mont,Sports,Second Generation or Higher,98962,"Thomas Allison ""Tommy"" Mont  was an American educator, university administrator, college football coach, and NFL player"
France,Charisma Carpenter,Arts/Entertainment,Second Generation or Higher,98604,Charisma Lee Carpenter  is an American actress
France,Roy Bourgeois,Religion,Second Generation or Higher,98512,"Roy Bourgeois  is a laicized Roman Catholic priest; and an American activist and founder, in 1990, of the human rights group School of the Americas Watch "
France,Richard Marquis,Arts/Entertainment,Second Generation or Higher,98461,"Richard ""Dick"" Marquis is an American studio glass artist who was born September 17, 1945 in Bumble Bee, Arizona"
France,Dorothy Lamour,Arts/Entertainment,Second Generation or Higher,97705,Dorothy Lamour  was an American actress and singer
France,Surya Bonaly,Sports,Second Generation or Higher,97615,Surya Bonaly  is a French-American former figure skater
France,Alice Heine,Other,Second Generation or Higher,97252,"Alice Heine , styled HSH The Princess of Monaco, and also The Duchess of Richelieu, was the American-born second wife of Prince Albert I of Monaco, a great-grandfather of Prince Rainier III of Monaco"
France,Charles Guiteau,Other,Second Generation or Higher,96706,"Charles Julius Guiteau  was an American preacher, writer, and lawyer who was convicted of the assassination of James A"
France,Ray Lamontagne,Arts/Entertainment,Second Generation or Higher,96101,"Raymond ""Ray"" Charles Jack LaMontagne  is an American singer-songwriter"
France,Melody Gardot,Arts/Entertainment,Second Generation or Higher,95632,"Melody Gardot /__r_do_/  is a Grammy-nominated American singer, writer and musician in Philadelphia, though she considers herself a ""citizen of the world"""
France,Charlie Melancon,Government,Second Generation or Higher,94449,"Charles Joseph ""Charlie"" Melançon  was the U"
France,Dudley J. LeBlanc,Government,Second Generation or Higher,93980,"Dudley Joseph LeBlanc, Sr"
France,Mike Fontenot,Sports,Second Generation or Higher,92951,"Michael Eugene ""Mike"" Fontenot  is a professional baseball infielder who is a free agent"
