0
China,28.7,1.7,19.6,3.8,1.5,1.3,2.8,11.2,9.9,7.7,9.6,2.2
Colombia,18.6,2.7,15.0,6.4,3.0,7.2,5.5,3.4,9.7,10.4,15.0,3.1
France,25.6,0.7,13.7,4.2,1.4,8.0,1.4,3.9,5.8,9.2,20.1,6.0
Germany,24.2,1.6,7.6,4.0,2.0,8.7,0.3,3.8,7.9,13.1,21.0,5.8
Hong Kong,28.5,1.3,7.2,7.0,3.6,3.9,1.3,5.8,7.0,15.0,16.4,3.0
India,14.1,0.6,36.7,1.3,4.8,0.7,0.1,21.7,11.4,3.2,4.3,1.1
Indonesia,29.0,2.5,19.0,8.9,2.9,3.2,1.0,4.8,5.7,8.6,12.1,2.3
Iran,4.1,0.7,58.4,4.5,2.2,1.2,0.8,9.5,9.1,4.3,4.3,0.9
Japan,19.2,2.6,4.6,7.2,3.1,6.5,12.1,2.8,5.7,13.5,18.5,4.2
Malaysia,18.5,2.4,27.0,3.5,3.1,1.9,0.2,8.1,13.4,8.6,10.4,2.9
Mexico,22.2,3.1,17.0,6.8,3.7,3.4,2.6,3.9,6.4,8.8,16.8,5.3
Nepal,20.9,0.6,17.8,1.5,8.7,0.7,0.1,11.6,19.2,5.4,10.4,3.1
Nigeria,16.3,1.3,22.7,1.7,14.3,3.2,0.4,7.4,12.5,7.3,9.4,3.5
Pakistan,19.8,2.4,24.7,2.4,4.0,1.8,0.1,9.0,7.8,11.6,11.1,5.3
Russia,29.4,1.9,6.9,6.4,3.1,5.8,2.1,6.8,12.1,10.9,11.4,3.2
Saudi Arabia,15.9,2.0,18.4,1.4,4.7,1.0,36.3,6.7,3.0,2.6,6.2,1.8
South Korea,16.8,3.2,12.2,11.1,4.9,5.3,4.3,5.1,7.8,11.5,14.6,3.2
Taiwan,21.3,4.7,17.0,11.6,3.8,2.4,3.6,6.2,10.6,6.8,10.4,1.6
Thailand,21.1,2.4,18.0,6.7,5.4,2.4,3.5,7.5,8.3,7.2,15.4,2.1
Turkey,15.2,4.2,25.1,3.9,0.7,3.3,4.1,9.7,8.8,14.4,8.8,1.8
United Kingdom,17.8,3.2,4.9,6.6,3.4,7.9,0.2,2.5,7.1,16.8,24.1,5.5
Venezuela,25.6,2.6,15.5,7.7,3.2,2.1,10.4,2.9,4.8,7.0,14.3,3.9
Vietnam,39.0,1.1,9.6,2.9,4.5,1.3,2.9,7.1,6.8,4.5,10.5,9.8
3
Brazil,23.8,1.9,11.2,8.9,3.1,3.4,2.7,3.8,6.0,9.3,19.2,6.7
Canada,15.8,6.9,7.5,8.8,15.0,4.1,0.1,2.6,8.5,13.0,14.6,3.1
China,29.0,1.7,19.2,4.9,1.3,1.0,3.2,11.2,8.8,8.2,9.0,2.5
Colombia,19.0,2.6,13.5,8.9,2.3,5.5,7.0,3.3,9.7,11.7,13.0,3.5
France,24.9,0.9,11.6,6.6,1.5,6.9,1.4,5.7,5.2,9.9,19.5,5.9
Germany,26.0,1.6,7.9,4.2,2.3,6.9,0.9,3.1,8.2,14.1,17.9,6.9
Hong Kong,27.4,1.0,6.5,10.3,3.4,3.0,2.5,5.7,6.0,15.0,14.6,4.6
India,13.7,0.5,35.6,1.7,4.7,0.5,0.1,23.1,11.2,3.5,4.6,0.8
Indonesia,29.6,2.0,15.6,9.5,2.3,1.7,1.2,5.1,5.3,9.8,12.6,5.3
Iran,4.7,1.3,55.2,5.4,2.3,1.0,1.6,9.6,10.5,3.6,4.2,0.6
Japan,17.4,2.4,3.7,8.1,2.8,5.8,14.6,2.2,4.8,11.5,22.1,4.6
Malaysia,18.2,2.2,28.4,4.3,2.9,1.7,0.1,8.0,11.8,9.8,10.3,2.3
Mexico,21.5,3.3,17.0,8.9,2.9,3.4,2.7,4.0,6.5,10.5,14.0,5.3
Nepal,19.0,1.0,20.3,1.5,9.4,1.1,0.1,11.9,19.6,5.5,7.6,3.0
Nigeria,15.5,1.7,24.1,2.3,12.5,2.3,0.2,7.4,13.0,7.9,9.0,4.1
Russia,28.2,1.9,6.8,9.4,2.5,5.0,1.9,7.4,11.5,11.3,11.4,2.7
Saudi Arabia,17.1,2.8,21.1,2.1,5.6,1.5,27.2,7.4,4.0,2.7,5.8,2.7
South Korea,16.4,3.1,10.8,13.4,5.0,4.1,4.5,4.9,7.0,12.4,15.1,3.3
Spain,22.1,2.1,13.1,9.3,2.1,11.2,2.2,3.7,4.8,8.5,16.3,4.6
Taiwan,20.9,3.8,16.6,12.9,3.6,2.1,3.7,6.7,10.6,7.1,9.9,2.1
Thailand,21.4,2.2,17.3,10.1,4.1,1.4,3.7,7.0,9.0,7.0,13.9,2.9
Turkey,15.1,3.7,25.1,5.7,0.7,2.7,3.5,9.6,8.6,13.5,9.8,2.0
